,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,y_prednew
0,1,PAYMENT,9839.64,C1231006815,170136.0,160296.36,M1979787155,0.0,0.0,0
1,1,PAYMENT,1864.28,C1666544295,21249.0,19384.72,M2044282225,0.0,0.0,0
2,1,TRANSFER,181.0,C1305486145,181.0,0.0,C553264065,0.0,0.0,0
3,1,CASH_OUT,181.0,C840083671,181.0,0.0,C38997010,21182.0,0.0,0
4,1,PAYMENT,11668.14,C2048537720,41554.0,29885.86,M1230701703,0.0,0.0,0
5,1,PAYMENT,7817.71,C90045638,53860.0,46042.29,M573487274,0.0,0.0,0
6,1,PAYMENT,7107.77,C154988899,183195.0,176087.23,M408069119,0.0,0.0,0
7,1,TRANSFER,7861.64,C1912850431,176087.23,0.0,C932583850,0.0,7861.64,0
8,1,CASH_OUT,215310.3,C1265012928,0.0,0.0,C1915112806,2415.0,0.0,0
9,1,PAYMENT,5765.32,C1585936762,10127.0,4361.68,M2096539129,0.0,0.0,0
10,2,TRANSFER,311685.89,C1984094095,10835.0,0.0,C932583850,506267.0,817952.89,0
11,2,DEBIT,996.0,C1839206329,46132.04,45136.04,C998351292,88106.55,89102.55,0
12,2,CASH_IN,143236.26,C1862994526,0.0,143236.26,C1688019098,608932.17,465695.91,0
13,2,PAYMENT,8416.21,C1076324695,56060.58,47644.37,M1998224723,0.0,0.0,0
14,2,TRANSFER,1096187.24,C1093223281,1096187.24,0.0,C2063275841,0.0,0.0,1
15,2,CASH_OUT,1096187.24,C77163673,1096187.24,0.0,C644345897,0.0,1096187.24,0
16,3,PAYMENT,3246.81,C1270388947,18853.0,15606.19,M680653508,0.0,0.0,0
17,3,TRANSFER,500000.0,C1088617063,500000.0,0.0,C1232937195,0.0,500000.0,0
18,3,CASH_OUT,75000.0,C523955679,75000.0,0.0,C489738521,0.0,75000.0,0
19,3,DEBIT,1200.0,C382661596,8342.0,7142.0,C887057380,15000.0,16200.0,0
